Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,"[('Vijfkamp Mannen - Verspringen', '2.45 m', '383', 10), ('Vijfkamp Mannen - Speerwerpen', '22.89 m', '367', 10), ('Vijfkamp Mannen - 200 meter', '27.78 s', '569', 10), ('Vijfkamp Mannen - Discuswerpen', '18.51 m', '312', 10), ('Vijfkamp Mannen - 1500 meter', '5:01.44', '464', 10), ('Tienkamp - 100 meter', '14.03 s', '505', 10), ('Tienkamp - Verspringen', '2.43 m', '380', 10), ('Tienkamp - Kogelstoten', '5.25 m', '297', 10), ('Tienkamp - Hoogspringen', '0.47 m', '279', 10), ('Tienkamp - 400 meter', '1:01.80', '607', 10), ('Tienkamp - 110 meter horden', '21.27 s', '500', 10), ('Tienkamp - Discuswerpen', '19.14 m', '322', 10), ('Tienkamp - Polsstokhoogspringen', '1.29 m', '272', 10), ('Tienkamp - Speerwerpen', '22.58 m', '362', 10), ('Tienkamp - 1500 meter', '5:03.59', '443', 10), ('Vijfkamp Mannen', '2095 p', '419', 10), ('Tienkamp', '3967 p', '397', 10)]",False,20,4,2,8,1,1,3,4,6
Onbekend,Äärilä Vilma,5664230,17,Suomi,Vrouw,340,Zonder specialiteit,19,1,15,166,65,[],False,8,7,7,2,3,6,2,0,0
Onbekend,Aas Magne,5665744,19,Norge,Man,940,Zonder specialiteit,15,1,14,181,84,[],False,18,2,1,9,3,3,2,0,0
Onbekend,Abadía Paul,5642865,16,España,Man,900,Werpers,16,1,13,187,88,"[('Kogelstoten', '6.06 m', '0', 10), ('Discuswerpen', '22.97 m', '0', 10), ('Kogelslingeren', '22.81 m', '0', 10), ('Speerwerpen', '24.57 m', '0', 10)]",False,16,6,1,1,9,4,1,7,4
10 km snelwandelen,Abanilla Alma,4970982,35,Pilipinas,Vrouw,27720,Snelwandelaars,20,15,13,174,60,"[('10 km snelwandelen', '57:07.37', '1048', 10), ('20 km snelwandelen', '1h:56:23.03', '1000', 10), ('50 km snelwandelen', '4h:50:56.50', '932', 10)]",False,20,0,17,0,2,0,0,13,14
Hoogspringen,Abarca Francisco,5325752,28,El Salvador,Man,3490,Springers,20,7,19,187,94,"[('Hoogspringen', '1.35 m', '486', 10), ('Polsstokhoogspringen', '3.50 m', '434', 10), ('Verspringen', '4.83 m', '467', 10), ('Hinkstapspringen', '9.29 m', '401', 10)]",False,6,2,1,3,11,11,3,9,7
Onbekend,Abarrientos Rizalyn,5665414,21,Pilipinas,Vrouw,410,Zonder specialiteit,10,1,15,169,62,[],False,9,2,9,3,3,3,6,0,0
Kogelstoten,Abbà Delfina,5392362,24,Italia,Vrouw,3200,Werpers,20,5,16,166,70,"[('Kogelstoten', '9.77 m', '203', 10), ('Discuswerpen', '33.79 m', '218', 10), ('Kogelslingeren', '30.48 m', '200', 10), ('Speerwerpen', '29.14 m', '266', 10)]",False,9,8,3,2,0,1,12,10,8
20 km snelwandelen,Abbondanzieri Carlos,5156255,34,Argentina,Man,10000,Snelwandelaars,17,14,17,167,48,"[('10 km snelwandelen', '58:11.01', '790', 10), ('20 km snelwandelen', '1h:49:17.95', '883', 10), ('50 km snelwandelen', '4h:44:24.25', '785', 10)]",False,17,0,15,2,6,0,0,9,6
Onbekend,Abbott Caitlin,5539086,17,United States,Vrouw,3900,Sprinters,19,2,15,176,82,"[('100 meter', '14.42 s', '725', 10), ('200 meter', '28.33 s', '728', 10), ('400 meter', '1:05.11', '760', 10), ('100 meter horden', '20.53 s', '740', 10), ('400 meter horden', '1:14.48', '827', 10)]",False,11,4,3,14,3,2,1,5,8
