Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aader Zahhar,5660844,18,Eesti,Man,1120,Meerkampers,17,1,15,182,81,"[('Vijfkamp Mannen - Verspringen', '2.45 m', '383', 0), ('Vijfkamp Mannen - Speerwerpen', '22.89 m', '367', 0), ('Vijfkamp Mannen - 200 meter', '27.78 s', '569', 0), ('Vijfkamp Mannen - Discuswerpen', '18.51 m', '312', 0), ('Vijfkamp Mannen - 1500 meter', '5:01.44', '464', 0), ('Tienkamp - 100 meter', '14.03 s', '505', 0), ('Tienkamp - Verspringen', '2.43 m', '380', 0), ('Tienkamp - Kogelstoten', '5.25 m', '297', 0), ('Tienkamp - Hoogspringen', '0.47 m', '279', 0), ('Tienkamp - 400 meter', '1:01.80', '607', 0), ('Tienkamp - 110 meter horden', '21.27 s', '500', 0), ('Tienkamp - Discuswerpen', '19.14 m', '322', 0), ('Tienkamp - Polsstokhoogspringen', '1.29 m', '272', 0), ('Tienkamp - Speerwerpen', '22.58 m', '362', 0), ('Tienkamp - 1500 meter', '5:03.59', '443', 0), ('Vijfkamp Mannen', '2095 p', '419', 0), ('Tienkamp', '3967 p', '397', 0)]",False,20,4,2,8,1,1,3,4,6
Onbekend,Äärilä Vilma,5664230,18,Suomi,Vrouw,340,Zonder specialiteit,19,1,15,166,65,[],False,8,7,7,2,3,6,2,0,0
Onbekend,Aas Magne,5665744,20,Norge,Man,940,Zonder specialiteit,15,1,14,181,84,[],False,18,2,1,9,3,3,2,0,0
Onbekend,Abadexo Eladio,5560103,18,España,Man,370,Sprinters,19,1,13,175,82,"[('100 meter', '14.27 s', '533', 0), ('200 meter', '28.40 s', '585', 0), ('400 meter', '1:02.74', '646', 0), ('110 meter horden', '21.52 s', '584', 0), ('400 meter horden', '1:13.50', '645', 0)]",False,10,6,0,3,1,2,2,8,6
Onbekend,Abadía Paul,5642865,17,España,Man,900,Werpers,16,1,13,187,88,"[('Kogelstoten', '6.06 m', '0', 0), ('Discuswerpen', '22.97 m', '0', 0), ('Kogelslingeren', '22.81 m', '0', 0), ('Speerwerpen', '24.57 m', '0', 0)]",False,16,6,1,1,9,4,1,7,4
10 km snelwandelen,Abanilla Alma,4970982,36,Pilipinas,Vrouw,27720,Snelwandelaars,20,15,13,174,60,"[('10 km snelwandelen', '57:07.37', '1048', 0), ('20 km snelwandelen', '1h:56:23.03', '1000', 0), ('50 km snelwandelen', '4h:50:56.50', '932', 0)]",False,20,0,17,0,2,0,0,13,14
Hoogspringen,Abarca Francisco,5325752,29,El Salvador,Man,3490,Springers,20,7,19,187,94,"[('Hoogspringen', '1.35 m', '486', 0), ('Polsstokhoogspringen', '3.50 m', '434', 0), ('Verspringen', '4.83 m', '467', 0), ('Hinkstapspringen', '9.29 m', '401', 0)]",False,6,2,1,3,11,11,3,9,7
Onbekend,Abarca Mariña,5653266,16,España,Vrouw,860,Meerkampers,14,1,16,171,67,"[('Vijfkamp Vrouwen - 100 meter horden', '21.51 s', '575', 0), ('Vijfkamp Vrouwen - Hoogspringen', '0.47 m', '307', 0), ('Vijfkamp Vrouwen - Kogelstoten', '6.80 m', '400', 0), ('Vijfkamp Vrouwen - Verspringen', '1.98 m', '380', 0), ('Vijfkamp Vrouwen - 800 meter', '2:48.23', '513', 0), ('Zevenkamp - 100 meter horden', '21.57 s', '567', 0), ('Zevenkamp - Hoogspringen', '0.48 m', '314', 0), ('Zevenkamp - Kogelstoten', '6.94 m', '408', 0), ('Zevenkamp - 200 meter', '30.34 s', '422', 0), ('Zevenkamp - Verspringen', '1.91 m', '367', 0), ('Zevenkamp - Speerwerpen', '21.26 m', '448', 0), ('Zevenkamp - 800 meter', '2:49.96', '483', 0), ('Vijfkamp Vrouwen', '2175 p', '435', 0), ('Zevenkamp', '3009 p', '430', 0)]",False,15,9,1,3,6,1,3,4,7
Onbekend,Abarrientos Rizalyn,5665414,22,Pilipinas,Vrouw,410,Zonder specialiteit,10,1,15,169,62,[],False,9,2,9,3,3,3,6,0,0
Kogelstoten,Abbà Delfina,5392362,25,Italia,Vrouw,3200,Werpers,20,5,16,166,70,"[('Kogelstoten', '9.77 m', '203', 0), ('Discuswerpen', '33.79 m', '218', 0), ('Kogelslingeren', '30.48 m', '200', 0), ('Speerwerpen', '29.14 m', '266', 0)]",False,9,8,3,2,0,1,12,10,8
