Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Resultaten test,Club,Transfer deadline,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2
Onbekend,Aader Zahhar,5660844,18,Eesti,Man,1120,Meerkampers,17,1,15,182,81,"[('Vijfkamp Mannen - Verspringen', '2.45 m', '383', 1), ('Vijfkamp Mannen - Speerwerpen', '22.86 m', '367', 1), ('Vijfkamp Mannen - 200 meter', '27.78 s', '569', 1), ('Vijfkamp Mannen - Discuswerpen', '18.68 m', '315', 1), ('Vijfkamp Mannen - 1500 meter', '5:00.24', '476', 1), ('Tienkamp - 100 meter', '14.00 s', '512', 1), ('Tienkamp - Verspringen', '2.38 m', '372', 1), ('Tienkamp - Kogelstoten', '5.32 m', '301', 1), ('Tienkamp - Hoogspringen', '0.46 m', '273', 1), ('Tienkamp - 400 meter', '1:01.72', '611', 1), ('Tienkamp - 110 meter horden', '21.01 s', '537', 1), ('Tienkamp - Discuswerpen', '19.34 m', '326', 1), ('Tienkamp - Polsstokhoogspringen', '1.31 m', '276', 1), ('Tienkamp - Speerwerpen', '23.44 m', '376', 1), ('Tienkamp - 1500 meter', '5:00.11', '478', 1), ('Vijfkamp Mannen', '2110 p', '422', 1), ('Tienkamp', '4062 p', '406', 1)]",False,0001-01-01 00:00:00,20,4,2,8,1,1,3,4,6
Onbekend,Aas Magne,5665744,20,Norge,Man,940,Zonder specialiteit,15,1,14,181,84,[],False,0001-01-01 00:00:00,18,2,1,9,3,3,2,0,0
Onbekend,Abadexo Eladio,5560103,18,España,Man,370,Sprinters,19,1,13,175,82,"[('100 meter', '14.22 s', '542', 1), ('200 meter', '28.48 s', '578', 1), ('400 meter', '1:03.22', '626', 1), ('110 meter horden', '21.55 s', '580', 1), ('400 meter horden', '1:13.23', '655', 1)]",False,0001-01-01 00:00:00,10,6,0,3,1,2,2,8,6
Onbekend,Abadía Aratz,5630901,18,España,Man,1880,Snelwandelaars,18,1,14,182,89,"[('10 km snelwandelen', '1h:01:50.06', '635', 0), ('20 km snelwandelen', '2h:01:00.26', '628', 0), ('50 km snelwandelen', '5h:06:54.83', '588', 0)]",False,0001-01-01 00:00:00,20,2,8,3,4,1,2,7,9
10 km snelwandelen,Abanilla Alma,4970982,36,Pilipinas,Vrouw,27340,Snelwandelaars,20,15,13,174,60,"[('10 km snelwandelen', '57:07.37', '1048', 0), ('20 km snelwandelen', '1h:56:23.03', '1000', 0), ('50 km snelwandelen', '4h:50:56.50', '932', 0)]",False,0001-01-01 00:00:00,20,0,17,0,2,0,0,13,14
Onbekend,Abantos Irene,5639454,18,España,Vrouw,670,Sprinters,19,1,16,183,79,"[('100 meter', '15.46 s', '541', 1), ('200 meter', '30.88 s', '499', 1), ('400 meter', '1:10.65', '547', 1), ('100 meter horden', '21.20 s', '657', 1), ('400 meter horden', '1:18.36', '699', 1)]",False,0001-01-01 00:00:00,7,1,3,1,9,5,2,6,5
Hoogspringen,Abarca Francisco,5325752,29,El Salvador,Man,3410,Springers,20,7,19,187,94,"[('Hoogspringen', '1.35 m', '486', 0), ('Polsstokhoogspringen', '3.50 m', '434', 0), ('Verspringen', '4.83 m', '467', 0), ('Hinkstapspringen', '9.29 m', '401', 0)]",False,0001-01-01 00:00:00,6,2,0,3,11,11,2,9,7
Onbekend,Abarca Mariña,5653266,16,España,Vrouw,860,Meerkampers,14,1,16,171,67,"[('Vijfkamp Vrouwen - 100 meter horden', '21.59 s', '564', 1), ('Vijfkamp Vrouwen - Hoogspringen', '0.49 m', '320', 1), ('Vijfkamp Vrouwen - Kogelstoten', '7.01 m', '412', 1), ('Vijfkamp Vrouwen - Verspringen', '1.99 m', '382', 1), ('Vijfkamp Vrouwen - 800 meter', '2:47.58', '525', 1), ('Zevenkamp - 100 meter horden', '21.50 s', '576', 1), ('Zevenkamp - Hoogspringen', '0.49 m', '320', 1), ('Zevenkamp - Kogelstoten', '7.23 m', '425', 1), ('Zevenkamp - 200 meter', '30.10 s', '447', 1), ('Zevenkamp - Verspringen', '1.99 m', '382', 1), ('Zevenkamp - Speerwerpen', '22.54 m', '475', 1), ('Zevenkamp - 800 meter', '2:47.68', '523', 1), ('Vijfkamp Vrouwen', '2203 p', '441', 1), ('Zevenkamp', '3148 p', '450', 1)]",False,0001-01-01 00:00:00,15,9,1,3,6,1,3,4,7
Onbekend,Abargil Timna,5667970,17,Yisra'el,Vrouw,330,Zonder specialiteit,13,1,15,159,59,[],False,0001-01-01 00:00:00,6,8,1,3,1,1,1,0,0
Kogelstoten,Abbà Delfina,5392362,25,Italia,Vrouw,3200,Werpers,20,5,16,166,70,"[('Kogelstoten', '9.77 m', '203', 0), ('Discuswerpen', '33.79 m', '218', 0), ('Kogelslingeren', '30.48 m', '200', 0), ('Speerwerpen', '29.14 m', '266', 0)]",False,0001-01-01 00:00:00,9,8,3,2,0,1,12,10,8
