Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Discipline,Resultaat,Punten Resultaat,Week
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,162,56,6,3,1,9,3,6,2,7,6,Hoogspringen,0.55 m,0,7
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,162,56,6,3,1,9,3,6,2,7,6,Polsstokhoogspringen,1.38 m,0,7
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,162,56,6,3,1,9,3,6,2,7,6,Verspringen,2.51 m,90,7
Onbekend,Abad Olimpia,5653064,16,España,Vrouw,760,Springers,16,1,14,162,56,6,3,1,9,3,6,2,7,6,Hinkstapspringen,4.01 m,0,7
Onbekend,Agoni Livia,5567612,26,Italia,Vrouw,2690,Springers,20,2,20,170,64,10,2,1,2,3,11,1,10,8,Hoogspringen,0.88 m,182,7
Onbekend,Agoni Livia,5567612,26,Italia,Vrouw,2690,Springers,20,2,20,170,64,10,2,1,2,3,11,1,10,8,Polsstokhoogspringen,2.10 m,219,7
Onbekend,Agoni Livia,5567612,26,Italia,Vrouw,2690,Springers,20,2,20,170,64,10,2,1,2,3,11,1,10,8,Verspringen,3.23 m,282,7
Onbekend,Agoni Livia,5567612,26,Italia,Vrouw,2690,Springers,20,2,20,170,64,10,2,1,2,3,11,1,10,8,Hinkstapspringen,6.15 m,244,7
Onbekend,Agostinelli Michelangelo,5620517,17,Italia,Man,1800,Springers,20,1,15,186,87,18,2,1,2,4,9,2,7,9,Hoogspringen,0.99 m,204,7
Onbekend,Agostinelli Michelangelo,5620517,17,Italia,Man,1800,Springers,20,1,15,186,87,18,2,1,2,4,9,2,7,9,Polsstokhoogspringen,2.57 m,165,7
Onbekend,Agostinelli Michelangelo,5620517,17,Italia,Man,1800,Springers,20,1,15,186,87,18,2,1,2,4,9,2,7,9,Verspringen,3.61 m,203,7
Onbekend,Agostinelli Michelangelo,5620517,17,Italia,Man,1800,Springers,20,1,15,186,87,18,2,1,2,4,9,2,7,9,Hinkstapspringen,7.00 m,160,7
Onbekend,Aguilera Armando,5657099,17,España,Man,1120,Snelwandelaars,13,1,14,169,72,11,4,10,2,8,1,2,6,6,10 km snelwandelen,1h:01:26.29,651,7
Onbekend,Aguilera Armando,5657099,17,España,Man,1120,Snelwandelaars,13,1,14,169,72,11,4,10,2,8,1,2,6,6,20 km snelwandelen,1h:59:57.03,651,7
Onbekend,Aguilera Armando,5657099,17,España,Man,1120,Snelwandelaars,13,1,14,169,72,11,4,10,2,8,1,2,6,6,50 km snelwandelen,5h:03:47.17,616,7
3.000 meter steeplechase,Aidinidou Matina,4702857,41,Hellas,Vrouw,860,Middenafstandslopers,11,10,13,173,81,17,0,4,1,0,0,0,3,6,800 meter,2:50.00,474,7
3.000 meter steeplechase,Aidinidou Matina,4702857,41,Hellas,Vrouw,860,Middenafstandslopers,11,10,13,173,81,17,0,4,1,0,0,0,3,6,1.500 meter,5:39.44,475,7
3.000 meter steeplechase,Aidinidou Matina,4702857,41,Hellas,Vrouw,860,Middenafstandslopers,11,10,13,173,81,17,0,4,1,0,0,0,3,6,3.000 meter steeplechase,17:36.87,602,7
Onbekend,Aird Victoria,5631687,17,Great Britain,Vrouw,420,Sprinters,20,1,16,178,75,11,3,1,7,2,1,0,7,6,100 meter,14.82 s,654,7
Onbekend,Aird Victoria,5631687,17,Great Britain,Vrouw,420,Sprinters,20,1,16,178,75,11,3,1,7,2,1,0,7,6,200 meter,29.83 s,593,7
Onbekend,Aird Victoria,5631687,17,Great Britain,Vrouw,420,Sprinters,20,1,16,178,75,11,3,1,7,2,1,0,7,6,400 meter,1:07.95,651,7
Onbekend,Aird Victoria,5631687,17,Great Britain,Vrouw,420,Sprinters,20,1,16,178,75,11,3,1,7,2,1,0,7,6,100 meter horden,21.23 s,653,7
Onbekend,Aird Victoria,5631687,17,Great Britain,Vrouw,420,Sprinters,20,1,16,178,75,11,3,1,7,2,1,0,7,6,400 meter horden,1:18.79,685,7
Onbekend,Aita Ester,5639910,17,Italia,Vrouw,1100,Springers,16,1,15,175,72,17,2,1,3,3,8,2,8,8,Hoogspringen,0.76 m,78,7
Onbekend,Aita Ester,5639910,17,Italia,Vrouw,1100,Springers,16,1,15,175,72,17,2,1,3,3,8,2,8,8,Polsstokhoogspringen,1.88 m,136,7
Onbekend,Aita Ester,5639910,17,Italia,Vrouw,1100,Springers,16,1,15,175,72,17,2,1,3,3,8,2,8,8,Verspringen,2.77 m,159,7
Onbekend,Aita Ester,5639910,17,Italia,Vrouw,1100,Springers,16,1,15,175,72,17,2,1,3,3,8,2,8,8,Hinkstapspringen,5.37 m,140,7
Onbekend,Alberto Vitorino,5618364,15,Portugal,Man,1000,Werpers,20,1,14,182,83,8,3,1,3,10,2,7,7,6,Kogelstoten,6.36 m,0,7
Onbekend,Alberto Vitorino,5618364,15,Portugal,Man,1000,Werpers,20,1,14,182,83,8,3,1,3,10,2,7,7,6,Discuswerpen,25.61 m,16,7
Onbekend,Alberto Vitorino,5618364,15,Portugal,Man,1000,Werpers,20,1,14,182,83,8,3,1,3,10,2,7,7,6,Kogelslingeren,28.03 m,38,7
Onbekend,Alberto Vitorino,5618364,15,Portugal,Man,1000,Werpers,20,1,14,182,83,8,3,1,3,10,2,7,7,6,Speerwerpen,30.54 m,96,7
Onbekend,Alejandro Elsa,5656739,15,España,Vrouw,530,Sprinters,11,1,14,169,66,6,7,3,1,1,3,2,8,7,100 meter,15.30 s,570,7
Onbekend,Alejandro Elsa,5656739,15,España,Vrouw,530,Sprinters,11,1,14,169,66,6,7,3,1,1,3,2,8,7,200 meter,30.51 s,532,7
Onbekend,Alejandro Elsa,5656739,15,España,Vrouw,530,Sprinters,11,1,14,169,66,6,7,3,1,1,3,2,8,7,400 meter,1:10.17,566,7
Onbekend,Alejandro Elsa,5656739,15,España,Vrouw,530,Sprinters,11,1,14,169,66,6,7,3,1,1,3,2,8,7,100 meter horden,22.08 s,549,7
Onbekend,Alejandro Elsa,5656739,15,España,Vrouw,530,Sprinters,11,1,14,169,66,6,7,3,1,1,3,2,8,7,400 meter horden,1:19.71,655,7
Onbekend,Alicante María Pilar,5607826,18,España,Vrouw,650,Sprinters,20,1,17,160,56,16,2,2,6,1,3,2,8,4,100 meter,15.26 s,577,7
Onbekend,Alicante María Pilar,5607826,18,España,Vrouw,650,Sprinters,20,1,17,160,56,16,2,2,6,1,3,2,8,4,200 meter,30.69 s,516,7
Onbekend,Alicante María Pilar,5607826,18,España,Vrouw,650,Sprinters,20,1,17,160,56,16,2,2,6,1,3,2,8,4,400 meter,1:09.85,578,7
Onbekend,Alicante María Pilar,5607826,18,España,Vrouw,650,Sprinters,20,1,17,160,56,16,2,2,6,1,3,2,8,4,100 meter horden,21.79 s,584,7
Onbekend,Alicante María Pilar,5607826,18,España,Vrouw,650,Sprinters,20,1,17,160,56,16,2,2,6,1,3,2,8,4,400 meter horden,1:19.20,672,7
Polsstokhoogspringen,Alichino Marzia,5184535,37,Italia,Vrouw,2080,Springers,20,8,17,171,64,16,0,0,0,1,9,0,10,7,Hoogspringen,0.76 m,78,7
Polsstokhoogspringen,Alichino Marzia,5184535,37,Italia,Vrouw,2080,Springers,20,8,17,171,64,16,0,0,0,1,9,0,10,7,Polsstokhoogspringen,1.86 m,128,7
Polsstokhoogspringen,Alichino Marzia,5184535,37,Italia,Vrouw,2080,Springers,20,8,17,171,64,16,0,0,0,1,9,0,10,7,Verspringen,2.75 m,154,7
Polsstokhoogspringen,Alichino Marzia,5184535,37,Italia,Vrouw,2080,Springers,20,8,17,171,64,16,0,0,0,1,9,0,10,7,Hinkstapspringen,5.18 m,114,7
Onbekend,Allan Lamar,5622947,19,Barbados,Man,1260,Snelwandelaars,17,1,17,171,74,11,3,9,1,9,2,3,4,7,10 km snelwandelen,1h:00:41.68,683,7
Onbekend,Allan Lamar,5622947,19,Barbados,Man,1260,Snelwandelaars,17,1,17,171,74,11,3,9,1,9,2,3,4,7,20 km snelwandelen,1h:59:06.50,669,7
Onbekend,Allan Lamar,5622947,19,Barbados,Man,1260,Snelwandelaars,17,1,17,171,74,11,3,9,1,9,2,3,4,7,50 km snelwandelen,5h:04:50.31,606,7
Onbekend,Almazán Edith,5556323,20,España,Vrouw,1070,Langeafstandslopers,20,2,17,169,60,15,3,7,4,3,4,1,4,9,5.000 meter,20:40.64,560,7
Onbekend,Almazán Edith,5556323,20,España,Vrouw,1070,Langeafstandslopers,20,2,17,169,60,15,3,7,4,3,4,1,4,9,10.000 meter,45:09.49,549,7
Onbekend,Almazán Edith,5556323,20,España,Vrouw,1070,Langeafstandslopers,20,2,17,169,60,15,3,7,4,3,4,1,4,9,Marathon,3h:08:44.57,603,7
100 meter,Alves Zília,4887184,35,Portugal,Vrouw,35560,Sprinters,20,15,14,178,67,20,17,0,18,0,0,0,8,8,100 meter,12.41 s,1080,7
100 meter,Alves Zília,4887184,35,Portugal,Vrouw,35560,Sprinters,20,15,14,178,67,20,17,0,18,0,0,0,8,8,200 meter,25.96 s,940,7
100 meter,Alves Zília,4887184,35,Portugal,Vrouw,35560,Sprinters,20,15,14,178,67,20,17,0,18,0,0,0,8,8,400 meter,58.29 s,1023,7
100 meter,Alves Zília,4887184,35,Portugal,Vrouw,35560,Sprinters,20,15,14,178,67,20,17,0,18,0,0,0,8,8,100 meter horden,19.44 s,874,7
100 meter,Alves Zília,4887184,35,Portugal,Vrouw,35560,Sprinters,20,15,14,178,67,20,17,0,18,0,0,0,8,8,400 meter horden,1:09.92,976,7
Onbekend,Amat Naia,5637127,17,España,Vrouw,1190,Snelwandelaars,17,1,15,179,75,16,4,8,2,2,3,8,7,7,10 km snelwandelen,1h:07:08.34,659,7
Onbekend,Amat Naia,5637127,17,España,Vrouw,1190,Snelwandelaars,17,1,15,179,75,16,4,8,2,2,3,8,7,7,20 km snelwandelen,2h:15:44.68,622,7
Onbekend,Amat Naia,5637127,17,España,Vrouw,1190,Snelwandelaars,17,1,15,179,75,16,4,8,2,2,3,8,7,7,50 km snelwandelen,5h:33:40.46,589,7
Onbekend,Amatulli Ernesto,5653130,15,Italia,Man,210,Middenafstandslopers,13,1,15,163,63,7,3,3,5,2,1,2,7,4,800 meter,2:30.30,578,7
Onbekend,Amatulli Ernesto,5653130,15,Italia,Man,210,Middenafstandslopers,13,1,15,163,63,7,3,3,5,2,1,2,7,4,1.500 meter,4:58.64,571,7
Onbekend,Amatulli Ernesto,5653130,15,Italia,Man,210,Middenafstandslopers,13,1,15,163,63,7,3,3,5,2,1,2,7,4,3.000 meter steeplechase,15:03.49,539,7
Onbekend,Amin Leona,5617576,18,Deutschland,Vrouw,800,Langeafstandslopers,19,1,17,161,56,12,1,9,6,1,1,1,6,6,5.000 meter,20:27.34,589,7
Onbekend,Amin Leona,5617576,18,Deutschland,Vrouw,800,Langeafstandslopers,19,1,17,161,56,12,1,9,6,1,1,1,6,6,10.000 meter,44:37.70,581,7
Onbekend,Amin Leona,5617576,18,Deutschland,Vrouw,800,Langeafstandslopers,19,1,17,161,56,12,1,9,6,1,1,1,6,6,Marathon,3h:07:05.63,626,7
Onbekend,Amoliņa Indra,5637354,17,Latvija,Vrouw,2080,Snelwandelaars,12,1,17,181,74,20,3,10,1,2,2,0,7,8,10 km snelwandelen,1h:06:37.66,678,7
Onbekend,Amoliņa Indra,5637354,17,Latvija,Vrouw,2080,Snelwandelaars,12,1,17,181,74,20,3,10,1,2,2,0,7,8,20 km snelwandelen,2h:13:37.56,664,7
Onbekend,Amoliņa Indra,5637354,17,Latvija,Vrouw,2080,Snelwandelaars,12,1,17,181,74,20,3,10,1,2,2,0,7,8,50 km snelwandelen,5h:30:48.42,612,7
Onbekend,Amorós Jagoba,5647039,17,España,Man,700,Springers,12,1,14,177,74,10,0,2,1,8,9,2,6,5,Hoogspringen,0.87 m,109,7
Onbekend,Amorós Jagoba,5647039,17,España,Man,700,Springers,12,1,14,177,74,10,0,2,1,8,9,2,6,5,Polsstokhoogspringen,2.52 m,150,7
Onbekend,Amorós Jagoba,5647039,17,España,Man,700,Springers,12,1,14,177,74,10,0,2,1,8,9,2,6,5,Verspringen,3.43 m,164,7
Onbekend,Amorós Jagoba,5647039,17,España,Man,700,Springers,12,1,14,177,74,10,0,2,1,8,9,2,6,5,Hinkstapspringen,7.02 m,162,7
Onbekend,Amour Marie-Pierre,5575206,17,France,Vrouw,1420,Sprinters,20,2,20,163,69,11,10,1,1,1,2,0,7,9,100 meter,14.94 s,633,7
Onbekend,Amour Marie-Pierre,5575206,17,France,Vrouw,1420,Sprinters,20,2,20,163,69,11,10,1,1,1,2,0,7,9,200 meter,30.10 s,569,7
Onbekend,Amour Marie-Pierre,5575206,17,France,Vrouw,1420,Sprinters,20,2,20,163,69,11,10,1,1,1,2,0,7,9,400 meter,1:09.30,599,7
Onbekend,Amour Marie-Pierre,5575206,17,France,Vrouw,1420,Sprinters,20,2,20,163,69,11,10,1,1,1,2,0,7,9,100 meter horden,21.59 s,609,7
Onbekend,Amour Marie-Pierre,5575206,17,France,Vrouw,1420,Sprinters,20,2,20,163,69,11,10,1,1,1,2,0,7,9,400 meter horden,1:19.04,677,7
Onbekend,Andrés Soraya,5656768,15,España,Vrouw,380,Werpers,16,1,14,173,69,7,2,2,2,3,1,6,8,6,Kogelstoten,4.40 m,0,7
Onbekend,Andrés Soraya,5656768,15,España,Vrouw,380,Werpers,16,1,14,173,69,7,2,2,2,3,1,6,8,6,Discuswerpen,18.19 m,0,7
Onbekend,Andrés Soraya,5656768,15,España,Vrouw,380,Werpers,16,1,14,173,69,7,2,2,2,3,1,6,8,6,Kogelslingeren,16.03 m,0,7
Onbekend,Andrés Soraya,5656768,15,España,Vrouw,380,Werpers,16,1,14,173,69,7,2,2,2,3,1,6,8,6,Speerwerpen,16.50 m,0,7
Onbekend,Aneiros Senén,5578379,16,España,Man,990,Werpers,20,1,15,182,83,16,9,3,5,7,1,6,4,6,Kogelstoten,9.07 m,110,7
Onbekend,Aneiros Senén,5578379,16,España,Man,990,Werpers,20,1,15,182,83,16,9,3,5,7,1,6,4,6,Discuswerpen,32.36 m,172,7
