Favoriete onderdeel,Naam,AtleetID,Leeftijd,Land,Geslacht,MaxID,Specialiteit,Humeur,Ervaring,Vorm,Lengte,Gewicht,Club,Zorg,Kracht,Uithouding,Snelheid,Lenigheid,Springen,Werpen,SP1,SP2,Discipline,Resultaat,Punten Resultaat,Week
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Vijfkamp Mannen - Verspringen,2.45 m,383,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Vijfkamp Mannen - Speerwerpen,22.89 m,367,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Vijfkamp Mannen - 200 meter,27.78 s,569,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Vijfkamp Mannen - Discuswerpen,18.51 m,312,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Vijfkamp Mannen - 1500 meter,5:01.44,464,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - 100 meter,14.03 s,505,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - Verspringen,2.43 m,380,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - Kogelstoten,5.25 m,297,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - Hoogspringen,0.47 m,279,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - 400 meter,1:01.80,607,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - 110 meter horden,21.27 s,500,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - Discuswerpen,19.14 m,322,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - Polsstokhoogspringen,1.29 m,272,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - Speerwerpen,22.58 m,362,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp - 1500 meter,5:03.59,443,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Vijfkamp Mannen,2095 p,419,10
Onbekend,Aader Zahhar,5660844,17,Eesti,Man,1120,Meerkampers,17,1,15,182,81,False,20,4,2,8,1,1,3,4,6,Tienkamp,3967 p,397,10
Onbekend,Abadía Paul,5642865,16,España,Man,900,Werpers,16,1,13,187,88,False,16,6,1,1,9,4,1,7,4,Kogelstoten,6.06 m,0,10
Onbekend,Abadía Paul,5642865,16,España,Man,900,Werpers,16,1,13,187,88,False,16,6,1,1,9,4,1,7,4,Discuswerpen,22.97 m,0,10
Onbekend,Abadía Paul,5642865,16,España,Man,900,Werpers,16,1,13,187,88,False,16,6,1,1,9,4,1,7,4,Kogelslingeren,22.81 m,0,10
